assumed_floor_fraction,below_minimum_effect_fraction,contrast_sd,correct_decisive_fraction,correlation,decision_method,effect_present_fraction,error_model,indeterminate_fraction,threshold_or_confidence,true_delta,truth_state,wrong_decisive_fraction
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,2.5,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,2.5,below_minimum_effect,0.0
1.0,0.042225,,0.042225,,deterministic_interval,0.0,independent_bounded,0.957775,,2.5,below_minimum_effect,0.0
0.9,0.08563,,0.08563,,deterministic_interval,0.0,independent_bounded,0.91437,,2.5,below_minimum_effect,0.0
0.75,0.201275,,0.201275,,deterministic_interval,0.0,independent_bounded,0.798725,,2.5,below_minimum_effect,0.0
0.5,0.49981,,0.49981,,deterministic_interval,0.0,independent_bounded,0.50019,,2.5,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,2.9,below_minimum_effect,1.0
1.0,0.0,,0.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,2.9,below_minimum_effect,1.0
1.0,0.0,,0.0,,legacy_ratio,0.999905,independent_bounded,9.5e-05,2.0,2.9,below_minimum_effect,0.999905
1.0,0.0,,0.0,,legacy_ratio,0.98971,independent_bounded,0.01029,2.25,2.9,below_minimum_effect,0.98971
1.0,0.0,,0.0,,legacy_ratio,0.91437,independent_bounded,0.08563,2.5,2.9,below_minimum_effect,0.91437
1.0,0.0,,0.0,,legacy_ratio,0.69168,independent_bounded,0.30832,2.75,2.9,below_minimum_effect,0.69168
1.0,0.0,,0.0,,legacy_ratio,0.37081,independent_bounded,0.62919,3.0,2.9,below_minimum_effect,0.37081
1.0,0.0,,0.0,,legacy_ratio,0.117805,independent_bounded,0.882195,3.25,2.9,below_minimum_effect,0.117805
1.0,0.0,,0.0,,legacy_ratio,0.01678,independent_bounded,0.98322,3.5,2.9,below_minimum_effect,0.01678
1.0,0.0,,0.0,,legacy_ratio,0.0003,independent_bounded,0.9997,3.75,2.9,below_minimum_effect,0.0003
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.0,2.9,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.25,2.9,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,2.9,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,2.9,below_minimum_effect,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,2.9,below_minimum_effect,0.0
1.0,9.5e-05,,9.5e-05,,deterministic_interval,0.0,independent_bounded,0.999905,,2.9,below_minimum_effect,0.0
0.9,0.001165,,0.001165,,deterministic_interval,0.0,independent_bounded,0.998835,,2.9,below_minimum_effect,0.0
0.75,0.01029,,0.01029,,deterministic_interval,0.0003,independent_bounded,0.98941,,2.9,below_minimum_effect,0.0003
0.5,0.08563,,0.08563,,deterministic_interval,0.01678,independent_bounded,0.89759,,2.9,below_minimum_effect,0.01678
1.0,0.0,,0.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,3.0,boundary,1.0
1.0,0.0,,0.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,3.0,boundary,1.0
1.0,0.0,,0.0,,legacy_ratio,1.0,independent_bounded,0.0,2.0,3.0,boundary,1.0
1.0,0.0,,0.0,,legacy_ratio,0.99726,independent_bounded,0.00274,2.25,3.0,boundary,0.99726
1.0,0.0,,0.0,,legacy_ratio,0.957775,independent_bounded,0.042225,2.5,3.0,boundary,0.957775
1.0,0.0,,0.0,,legacy_ratio,0.798725,independent_bounded,0.201275,2.75,3.0,boundary,0.798725
1.0,0.0,,0.0,,legacy_ratio,0.50019,independent_bounded,0.49981,3.0,3.0,boundary,0.50019
1.0,0.0,,0.0,,legacy_ratio,0.201645,independent_bounded,0.798355,3.25,3.0,boundary,0.201645
1.0,0.0,,0.0,,legacy_ratio,0.041395,independent_bounded,0.958605,3.5,3.0,boundary,0.041395
1.0,0.0,,0.0,,legacy_ratio,0.00251,independent_bounded,0.99749,3.75,3.0,boundary,0.00251
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.0,3.0,boundary,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.25,3.0,boundary,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,3.0,boundary,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,3.0,boundary,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,3.0,boundary,0.0
