kind,left,right,baseline_state,minimum_cost,witness_mask
point,0.09939810162564347,0.09939810162564347,above,0.14285714285714285,1
point,0.09939810162564348,0.09939810162564348,above,0.14285714285714285,1
open_interval,0.09939810162564348,0.09939831596977451,above,0.14285714285714285,1
point,0.09939831596977451,0.09939831596977451,above,0.14285714285714285,1
point,0.09939831596977453,0.09939831596977453,above,0.14285714285714285,1
open_interval,0.09939831596977453,0.09939837300780889,above,0.14285714285714285,1
point,0.09939837300780889,0.09939837300780889,above,0.14285714285714285,1
open_interval,0.09939837300780889,0.09939846583867445,above,0.14285714285714285,1
point,0.09939846583867445,0.09939846583867445,above,0.14285714285714285,1
point,0.09939846583867447,0.09939846583867447,above,0.14285714285714285,1
open_interval,0.09939846583867447,0.09939851567245041,above,0.14285714285714285,1
point,0.09939851567245041,0.09939851567245041,above,0.14285714285714285,1
open_interval,0.09939851567245041,0.09940105891352115,above,0.14285714285714285,1
point,0.09940105891352115,0.09940105891352115,above,0.14285714285714285,1
open_interval,0.09940105891352115,0.0994012087824211,above,0.14285714285714285,1
point,0.0994012087824211,0.0994012087824211,above,0.14285714285714285,1
open_interval,0.0994012087824211,0.09940142312655213,above,0.14285714285714285,1
point,0.09940142312655213,0.09940142312655213,above,0.14285714285714285,1
point,0.09940142312655215,0.09940142312655215,above,0.14285714285714285,1
open_interval,0.09940142312655215,0.09940148016458651,above,0.14285714285714285,1
point,0.09940148016458651,0.09940148016458651,above,0.14285714285714285,1
open_interval,0.09940148016458651,0.09940157299545209,above,0.14285714285714285,1
point,0.09940157299545209,0.09940157299545209,above,0.14285714285714285,1
open_interval,0.09940157299545209,0.09940162282922803,above,0.14285714285714285,1
point,0.09940162282922803,0.09940162282922803,above,0.14285714285714285,1
open_interval,0.09940162282922803,0.09940298666971767,above,0.14285714285714285,1
point,0.09940298666971767,0.09940298666971767,above,0.14285714285714285,1
open_interval,0.09940298666971767,0.09940335088274865,above,0.14285714285714285,1
point,0.09940335088274865,0.09940335088274865,above,0.14285714285714285,1
point,0.09940335088274867,0.09940335088274867,above,0.14285714285714285,1
open_interval,0.09940335088274867,0.09940340217182056,above,0.14285714285714285,1
point,0.09940340217182056,0.09940340217182056,above,0.14285714285714285,1
open_interval,0.09940340217182056,0.09940376638485154,above,0.14285714285714285,1
point,0.09940376638485154,0.09940376638485154,above,0.14285714285714285,1
