n,residual,elapsed_s,l2_error,minimum_conductivity,maximum_conductivity,pathway,sample,level
16,6.321602736652017e-15,0.000687899999320507,,0.6832149484644268,0.9710809866206797,1,31,2
24,1.3264252650493962e-14,0.0011508000025060028,,0.681313550661654,0.9837093739298489,1,31,3
32,2.4750788473251552e-14,0.0018195000011473894,,0.6814550211396314,0.98969985052836,1,31,4
40,4.046181291334222e-14,0.0025373999997100327,,0.6810944242811431,0.9931773067920401,1,31,5
48,5.4577216475588843e-14,0.003698100001201965,,0.6811509687167627,0.9954438632362433,1,31,6
64,1.0782347097735502e-13,0.005896800001210067,,0.6810550406533714,0.9982162579098429,1,31,7
8,1.3396199170585762e-15,0.0004855999977735337,,0.5330545648851874,1.0715640263116375,2,0,0
12,2.5741623430186985e-15,0.0006142000020190608,,0.5250018515890286,1.0920330056980287,2,0,1
16,4.342600187065937e-15,0.0006882999987283256,,0.5221974480977588,1.1061104543413267,2,0,2
24,1.1542338728592248e-14,0.0011821999978565145,,0.5201989155256207,1.122531758895803,2,0,3
32,1.9735493305344542e-14,0.0018418000036035664,,0.5195003501440967,1.131533423859236,2,0,4
40,3.222147462942672e-14,0.0025420999991183635,,0.5191771770835257,1.137261296066452,2,0,5
48,4.557258631118899e-14,0.0036473000000114553,,0.5190016696268835,1.1410986529773164,2,0,6
64,8.33687189778351e-14,0.005839800000103423,,0.5188271896756765,1.1459148184698413,2,0,7
8,1.5245367351712178e-15,0.00044970000089961104,,0.7468727023003064,0.9868119714211242,2,1,0
12,3.3143096466565433e-15,0.0005004999984521419,,0.737984691077941,0.9960528124354437,2,1,1
16,5.578180218807737e-15,0.0006609000010939781,,0.7380743420509394,1.0035196479600919,2,1,2
24,1.495452681908466e-14,0.0011591000002226792,,0.737103902324029,1.0102567644667804,2,1,3
32,2.644062972692392e-14,0.0018829000000550877,,0.736286190300681,1.0143203394682387,2,1,4
40,4.1854485163710675e-14,0.00279930000033346,,0.7360240507644126,1.0167436666153944,2,1,5
48,5.801641979097265e-14,0.003671400001621805,,0.7360334868771504,1.0183116450923126,2,1,6
64,1.0473840225006911e-13,0.005866300001798663,,0.7358325711000628,1.02043415386576,2,1,7
8,1.2689641549319539e-15,0.0005216999998083338,,0.6951612820487189,0.9904561044596228,2,2,0
12,3.277940139030305e-15,0.0005120000023453031,,0.6912030981980359,1.0155401246323104,2,2,1
16,5.971626768082514e-15,0.0006848000011814293,,0.6904910775222419,1.025566971512522,2,2,2
24,1.3942391196018916e-14,0.001244099999894388,,0.6905832721597859,1.036298278860386,2,2,3
32,2.429112514458382e-14,0.0017829999997047707,,0.69082281492551,1.0414632600578901,2,2,4
40,3.9519323190930347e-14,0.0026536999976087827,,0.6905665334113607,1.0444966704922078,2,2,5
48,5.170939355973661e-14,0.0035835000016959384,,0.6904910775222419,1.0464914020086606,2,2,6
64,9.810378356265937e-14,0.005776800000603544,,0.6904867043093998,1.049198140680525,2,2,7
8,1.8549053468163266e-15,0.0004728999992948957,,0.9998154115274521,1.5605986622958825,2,3,0
12,4.024760511277482e-15,0.000528599997778656,,0.9926163012555704,1.5699847637950075,2,3,1
16,7.408386368850862e-15,0.0006638999984716065,,0.9900509711332662,1.5732614660743445,2,3,2
24,1.7077436641679705e-14,0.0013723999982175883,,0.9881652347410849,1.5755988946960875,2,3,3
32,3.2027465115602794e-14,0.0018266000006406102,,0.9874757548813843,1.576416355594961,2,3,4
40,4.875494197638786e-14,0.0026189999989583157,,0.9871429460602635,1.5767946076982642,2,3,5
48,6.990368876356441e-14,0.0035028999991482124,,0.9869547478868305,1.5770000469870942,2,3,6
64,1.306254514761148e-13,0.0058873000016319565,,0.9867573744317037,1.5772042972381328,2,3,7
8,1.4054986104432788e-15,0.00048239999887300655,,0.9586008476354512,1.721911120137402,2,4,0
12,4.099774018702631e-15,0.0006173000001581386,,0.9493005739085291,1.7440861171436928,2,4,1
16,6.8040976436573444e-15,0.000698800002282951,,0.9317883789585242,1.751967577540071,2,4,2
24,1.8291067647370022e-14,0.0011641999990388285,,0.9170317473754417,1.7576357247853287,2,4,3
32,3.218011603626737e-14,0.001839000000472879,,0.9098860902559001,1.7596271938141188,2,4,4
40,5.306407845922881e-14,0.0028609000000869855,,0.9056773418421692,1.7605502997049418,2,4,5
48,7.400972178310332e-14,0.003714300000865478,,0.9026287756885466,1.761052095741383,2,4,6
64,1.3720344149674606e-13,0.006035900001734262,,0.8989591147941867,1.7615512891412903,2,4,7
8,1.166312273673181e-15,0.0004912000003969297,,0.5025086305671338,1.0232712669971307,2,5,0
12,2.924289886557931e-15,0.000549600001249928,,0.4934956943039058,1.0413829004139716,2,5,1
16,4.93273371262306e-15,0.000674099999741884,,0.49034743848469187,1.0606317717892277,2,5,2
24,1.0600419623137179e-14,0.0011597000011533964,,0.4881008345150928,1.079577557291353,2,5,3
32,1.980412349039504e-14,0.00213649999932386,,0.487314959846729,1.0893480761924759,2,5,4
40,3.2195152049036704e-14,0.002674999999726424,,0.486951290097449,1.09551634846308,2,5,5
48,4.50763619951374e-14,0.0035325999997439794,,0.4867537619101401,1.099574236675367,2,5,6
64,8.238979013895273e-14,0.005922600001213141,,0.48655737062257265,1.10458312047234,2,5,7
8,1.253310999968575e-15,0.0004830999969271943,,0.5643479402968724,1.103756180959648,2,6,0
12,2.837426007095791e-15,0.0006255000007513445,,0.5576403407111512,1.131791527470897,2,6,1
16,4.84522148155859e-15,0.0006686000015179161,,0.5552994910916919,1.1456473037036878,2,6,2
24,1.1427142730070807e-14,0.001194799999211682,,0.5536297308656984,1.1597727567781655,2,6,3
32,2.084583269977769e-14,0.0018268999992869794,,0.5530457722581704,1.1672307340729298,2,6,4
40,3.2599029903584296e-14,0.002495900000212714,,0.5527755640702685,1.171505449531968,2,6,5
48,4.7757005444693955e-14,0.003521099999488797,,0.5526288059544692,1.1744010903024493,2,6,6
64,8.736623491946522e-14,0.0061027000010653865,,0.5524828968348948,1.1780460001699613,2,6,7
8,1.3699703393889085e-15,0.0005478999992192257,,1.0359504954764225,1.2304346569365072,2,7,0
12,3.657703288541868e-15,0.0005236999968474265,,1.0107997089703604,1.2280741598082354,2,7,1
16,5.629423315306303e-15,0.0006713000002491754,,0.9995169181763258,1.2290510814977946,2,7,2
24,1.6373886860582827e-14,0.0012962000000698026,,0.9892533895662527,1.2304346569365072,2,7,3
32,2.6611275332105525e-14,0.002117500000167638,,0.9845363952287829,1.2305105740512543,2,7,4
40,3.922413055579905e-14,0.002553599999373546,,0.9818458076019784,1.2309299041301593,2,7,5
48,6.319510744945824e-14,0.003756099999009166,,0.9801117462380727,1.2308948522489123,2,7,6
64,1.0645636421517429e-13,0.005993899998429697,,0.9780124995009407,1.230986702759234,2,7,7
8,1.2615054153855912e-15,0.0004867999996349681,,0.9399770651081766,1.121684809354097,2,8,0
12,3.5780897559203535e-15,0.0005275000003166497,,0.9360080517841035,1.1235705849081352,2,8,1
16,5.54500553436634e-15,0.0007031999994069338,,0.9362469716683691,1.1239498595310762,2,8,2
24,1.5534721810201893e-14,0.0011813999990408774,,0.9358368007590873,1.1253945859770276,2,8,3
32,2.451253449206395e-14,0.0017798999979277141,,0.9354459618966128,1.1252711285323675,2,8,4
40,3.812479982016295e-14,0.002530599998863181,,0.9352963946251802,1.1254578346455342,2,8,5
48,6.070724010752594e-14,0.003835100000287639,,0.9352706699928194,1.1253852794656096,2,8,6
64,9.899524590481376e-14,0.0061451000001397915,,0.9353208693069686,1.1255405343502403,2,8,7
8,1.4545219296763381e-15,0.0005196000020077918,,0.8387975845974773,1.010427356544732,2,9,0
12,3.8050454596398035e-15,0.0005175000005692709,,0.8346452667055416,1.0307212401720447,2,9,1
16,6.382122875176069e-15,0.0008909999996831175,,0.8340312583740457,1.0402036258669753,2,9,2
